Província,Distrito,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46
Zambézia,Nicoadala,0,0,0,0,0,0,0,0,0,0,0,19,27,39,35,25,21,10,7,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambézia,Inhassunge,0,0,0,0,0,0,0,0,0,0,0,30,64,26,17,15,18,3,11,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambézia,Maganja da Costa,0,0,0,0,0,0,0,0,0,0,0,0,20,8,4,11,2,2,0,18,58,65,142,116,60,28,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambézia,Namacurra,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambézia,Gurue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,51,41,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,96
Zambézia,Gile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,24
Zambézia,Mocuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,73
Cabo Delgado,Pemba,0,0,0,0,0,0,0,0,0,4,16,68,125,92,107,97,73,68,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Delgado,Meluco,0,0,0,0,0,0,0,0,0,0,0,2,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Delgado,Namuno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Delgado,Ibo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Delgado,Macomia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,43,55,36,37,28,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Delgado,Mueda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,16,10,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0
Cabo Delgado,Mocimboa da Praia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,19,12,12,9,2,2,0,0,0,0,0,0,0,0,0,0
